ax,ay,az,gx,gy,gz,session,reading_index
711,-1150,1074,1549,-652,370,2025-11-12_20-03-22,22
587,-2276,-1040,-1252,3089,19,2025-11-12_20-03-22,23
466,-1977,-156,-596,255,177,2025-11-12_20-03-22,24
602,-1586,126,-983,-1312,326,2025-11-12_20-03-22,25
1184,-1850,-1403,-693,971,206,2025-11-12_20-03-22,26
695,-1916,-230,-630,188,166,2025-11-12_20-03-22,27
1686,-3734,1190,133,-373,-310,2025-11-12_20-03-22,28
888,-1351,-1412,1408,633,956,2025-11-12_20-03-22,29
522,-1976,-272,-527,-161,131,2025-11-12_20-03-22,30
2153,-3180,1316,183,-849,-395,2025-11-12_20-03-22,31
1411,-1718,-1268,-1261,1935,1047,2025-11-12_20-03-22,32
432,-1951,60,-437,289,191,2025-11-12_20-03-22,33
841,-1480,761,2288,401,38,2025-11-12_20-03-22,34
394,-2452,-180,-1039,1022,-133,2025-11-12_20-03-22,35
-114,-2165,-333,-990,1215,109,2025-11-12_20-03-22,36
664,-1511,-962,3131,204,713,2025-11-12_20-03-22,37
660,-1879,20,-835,202,-138,2025-11-12_20-03-22,38
2073,-1429,-463,-1203,66,496,2025-11-12_20-03-22,39
731,-1387,-1424,2479,179,844,2025-11-12_20-03-22,40
606,-1917,42,-1171,435,49,2025-11-12_20-03-22,41
679,-1823,-337,-763,137,139,2025-11-12_20-03-22,42
759,-1715,-44,3587,-416,-65,2025-11-12_20-03-22,43
1473,-2536,666,-3339,2304,27,2025-11-12_20-03-22,44
542,-1920,-84,-551,292,131,2025-11-12_20-03-22,45
443,-1434,528,-279,-1057,232,2025-11-12_20-03-22,46
728,-1436,-1290,623,936,495,2025-11-12_20-03-22,47
611,-1909,-74,-562,31,139,2025-11-12_20-03-22,48
455,-2279,400,-1684,-5,-92,2025-11-12_20-03-22,49
537,-1355,-1378,-2007,3408,1477,2025-11-12_20-03-22,50
614,-1908,-72,-370,-54,189,2025-11-12_20-03-22,51
746,-1418,882,1137,501,399,2025-11-12_20-03-22,52
1025,-2004,-1200,-1741,3434,182,2025-11-12_20-03-22,53
662,-1937,-132,-511,438,193,2025-11-12_20-03-22,54
2603,-3106,1005,-581,-2278,248,2025-11-12_20-03-22,55
649,-1597,-1251,2795,-97,614,2025-11-12_20-03-22,56
534,-1488,348,-1541,-220,193,2025-11-12_20-04-23,0
1135,-1575,-1222,-589,1888,1342,2025-11-12_20-04-23,1
564,-1803,124,-472,164,-4,2025-11-12_20-04-23,2
495,-1862,-690,-1643,-168,652,2025-11-12_20-04-23,3
150,-1565,-1583,3002,-1279,-342,2025-11-12_20-04-23,4
501,-1841,291,-276,-314,160,2025-11-12_20-04-23,5
800,-2422,1114,561,-4109,1139,2025-11-12_20-04-23,6
592,-1451,-1558,1287,359,51,2025-11-12_20-04-23,7
701,-1842,-137,-555,-154,100,2025-11-12_20-04-23,8
666,-1808,-910,-940,-597,294,2025-11-12_20-04-23,9
595,-1713,-600,3157,192,162,2025-11-12_20-04-23,10
1182,-1993,860,-2476,568,-392,2025-11-12_20-04-23,11
609,-1882,-8,-504,138,187,2025-11-12_20-04-23,12
1545,-2827,625,-1309,-1171,103,2025-11-12_20-04-23,13
772,-1160,-1316,2676,598,1083,2025-11-12_20-04-23,14
607,-1942,-70,-1191,397,10,2025-11-12_20-04-23,15
442,-2230,-866,-1272,-363,540,2025-11-12_20-04-23,16
671,-1845,-955,3693,302,616,2025-11-12_20-04-23,17
632,-1994,-182,-1631,805,-137,2025-11-12_20-04-23,18
77,-2197,-120,-560,-758,341,2025-11-12_20-04-23,19
1188,-1608,-539,1269,1634,755,2025-11-12_20-04-23,20
702,-1858,-103,-832,517,110,2025-11-12_20-04-23,21
943,-1197,-143,-1382,339,722,2025-11-12_20-04-23,22
793,-1817,-865,2827,218,476,2025-11-12_20-04-23,23
606,-2121,-127,-1167,584,2,2025-11-12_20-04-23,24
1093,-1890,-266,-661,-302,43,2025-11-12_20-04-23,25
1048,-1687,-285,3670,-277,-197,2025-11-12_20-04-23,26
1241,-2000,528,-2193,259,-410,2025-11-12_20-04-23,27
694,-1904,-167,-407,-176,167,2025-11-12_20-04-23,28
608,-1291,767,153,-1014,202,2025-11-12_20-04-23,29
1362,-2079,-1327,-813,1101,314,2025-11-12_20-04-23,30
433,-1963,54,-312,-436,187,2025-11-12_20-04-23,31
827,-2556,1358,-1006,467,83,2025-11-12_20-04-23,32
991,-1287,-1372,90,1785,1262,2025-11-12_20-04-23,33
438,-1965,-17,-409,699,109,2025-11-12_20-04-23,34
909,-1218,952,1069,577,63,2025-11-12_20-04-23,35
1657,-2152,312,-2692,1748,196,2025-11-12_20-04-23,36
492,-1951,-153,-333,-107,179,2025-11-12_20-04-23,37
638,-1906,347,3153,1780,-536,2025-11-12_20-04-23,38
1002,-2223,209,-1694,364,-359,2025-11-12_20-04-23,39
587,-1857,-224,-487,-897,302,2025-11-12_20-04-23,40
924,-1763,-326,3856,-473,-124,2025-11-12_20-04-23,41
1046,-2359,804,-3177,1289,-337,2025-11-12_20-04-23,42
574,-1902,-103,-395,24,118,2025-11-12_20-04-23,43
2786,-3803,1185,32,-934,-410,2025-11-12_20-04-23,44
