ax,ay,az,gx,gy,gz,session,reading_index
379,-2089,-139,-950,436,-350,2025-11-12_19-45-55,50
354,-1806,39,-387,1354,-492,2025-11-12_19-45-55,51
400,-2035,-317,2355,-1164,-269,2025-11-12_19-45-55,52
303,-2002,-246,-1026,-644,42,2025-11-12_19-45-55,53
642,-1975,-162,-952,982,-114,2025-11-12_19-45-55,54
588,-2120,-443,1664,2066,-335,2025-11-12_19-45-55,55
49,-2351,276,-1004,-259,695,2025-11-12_19-45-55,56
-56,-1893,96,1924,817,-106,2025-11-12_19-46-56,0
206,-1896,-344,1488,-1377,-103,2025-11-12_19-46-56,1
-9,-2210,-180,-1311,-53,74,2025-11-12_19-46-56,2
-47,-2153,-315,-686,-43,-217,2025-11-12_19-46-56,3
-292,-2390,945,-740,2850,-653,2025-11-12_19-46-56,4
378,-2004,-504,2769,-41,-257,2025-11-12_19-46-56,5
-109,-2667,-44,-1347,-1394,331,2025-11-12_19-46-56,6
414,-1949,-106,-592,-288,-145,2025-11-12_19-46-56,7
532,-1942,-617,-1370,590,-808,2025-11-12_19-46-56,8
829,-2058,-340,1165,2561,-259,2025-11-12_19-46-56,9
-27,-1955,-879,-274,252,295,2025-11-12_19-46-56,10
826,-2170,-696,-1030,-1147,-663,2025-11-12_19-46-56,11
30,-1766,-42,2132,1373,-111,2025-11-12_19-46-56,12
400,-1927,-506,2021,-672,-206,2025-11-12_19-46-56,13
-81,-3006,-120,-1652,-1324,152,2025-11-12_19-46-56,14
349,-1976,-246,-721,-142,-150,2025-11-12_19-46-56,15
1621,-2286,-928,-433,-1776,-23,2025-11-12_19-46-56,16
234,-2068,-114,2363,1297,-172,2025-11-12_19-46-56,17
229,-1994,-472,2585,-732,-366,2025-11-12_19-46-56,18
-453,-2401,497,-1723,-959,364,2025-11-12_19-46-56,19
453,-1963,-2,-552,-175,-193,2025-11-12_19-46-56,20
694,-2127,-1202,-1357,-1201,-443,2025-11-12_19-46-56,21
756,-2249,-507,2006,1805,185,2025-11-12_19-46-56,22
-210,-2761,441,-1942,-293,552,2025-11-12_19-46-56,23
95,-2003,-126,-464,-147,-63,2025-11-12_19-46-56,24
354,-1711,-641,-573,1176,-754,2025-11-12_19-46-56,25
622,-1957,119,-1414,-2682,465,2025-11-12_19-46-56,26
980,-2093,881,-281,1673,138,2025-11-12_19-46-56,27
321,-1947,-48,-559,-122,-195,2025-11-12_19-46-56,28
-615,-1648,-704,-2424,1811,-206,2025-11-12_19-46-56,29
83,-1968,-274,2826,766,-468,2025-11-12_19-46-56,30
-194,-1761,-529,515,104,362,2025-11-12_19-46-56,31
215,-2105,-295,-1020,-205,-22,2025-11-12_19-46-56,32
247,-2119,-318,-977,767,-305,2025-11-12_19-46-56,33
-524,-2739,1144,-793,1883,-502,2025-11-12_19-46-56,34
100,-2117,-615,3467,423,-270,2025-11-12_19-46-56,35
-108,-2255,-715,-975,1529,-13,2025-11-12_19-46-56,36
405,-1962,-148,-805,-438,-99,2025-11-12_19-46-56,37
-387,-2125,-979,-959,-434,-804,2025-11-12_19-46-56,38
