T,P,session,reading_index
29.64,912.18,2025-11-01_01-00-54,21
29.67,912.25,2025-11-01_01-00-54,22
29.67,912.2,2025-11-01_01-00-54,23
29.68,912.16,2025-11-01_01-00-54,24
29.7,912.2,2025-11-01_01-00-54,25
29.73,912.24,2025-11-01_01-00-54,26
29.73,912.2,2025-11-01_01-00-54,27
29.75,912.19,2025-11-01_01-00-54,28
29.76,912.18,2025-11-01_01-00-54,29
29.78,912.14,2025-11-01_01-00-54,30
29.78,912.13,2025-11-01_01-00-54,31
29.8,912.15,2025-11-01_01-00-54,32
29.82,912.23,2025-11-01_01-00-54,33
29.82,912.12,2025-11-01_01-00-54,34
29.83,912.23,2025-11-01_01-00-54,35
29.84,912.17,2025-11-01_01-00-54,36
29.86,912.19,2025-11-01_01-00-54,37
29.86,912.2,2025-11-01_01-00-54,38
29.86,912.2,2025-11-01_01-00-54,39
29.88,912.19,2025-11-01_01-00-54,40
29.89,912.18,2025-11-01_01-00-54,41
29.9,912.2,2025-11-01_01-00-54,42
29.9,912.19,2025-11-01_01-00-54,43
29.91,912.22,2025-11-01_01-00-54,44
29.93,912.17,2025-11-01_01-00-54,45
29.93,912.17,2025-11-01_01-00-54,46
29.92,912.17,2025-11-01_01-00-54,47
29.93,912.13,2025-11-01_01-00-54,48
29.94,912.19,2025-11-01_01-00-54,49
29.95,912.16,2025-11-01_01-00-54,50
29.96,912.18,2025-11-01_01-00-54,51
29.96,912.17,2025-11-01_01-00-54,52
29.97,912.16,2025-11-01_01-00-54,53
29.97,912.17,2025-11-01_01-00-54,54
29.98,912.15,2025-11-01_01-00-54,55
29.99,912.26,2025-11-01_01-00-54,56
29.99,912.22,2025-11-01_01-00-54,57
28.63,922.1,2025-11-03_13-55-03,0
28.44,922.0,2025-11-03_13-55-03,1
28.3,922.05,2025-11-03_13-55-03,2
28.2,922.05,2025-11-03_13-55-03,3
28.09,922.06,2025-11-03_13-55-03,4
27.98,922.09,2025-11-03_13-55-03,5
27.84,922.02,2025-11-03_13-55-03,6
27.75,922.03,2025-11-03_13-55-03,7
27.67,922.01,2025-11-03_13-55-03,8
27.6,922.06,2025-11-03_13-55-03,9
27.48,922.01,2025-11-03_13-55-03,10
27.4,922.0,2025-11-03_13-55-03,11
27.33,922.04,2025-11-03_13-55-03,12
27.26,921.97,2025-11-03_13-55-03,13
27.2,922.0,2025-11-03_13-55-03,14
27.11,921.99,2025-11-03_13-55-03,15
27.06,922.07,2025-11-03_13-55-03,16
26.99,922.02,2025-11-03_13-55-03,17
26.93,922.01,2025-11-03_13-55-03,18
26.89,921.99,2025-11-03_13-55-03,19
26.83,921.99,2025-11-03_13-55-03,20
26.78,922.03,2025-11-03_13-55-03,21
26.74,922.03,2025-11-03_13-55-03,22
26.7,922.01,2025-11-03_13-55-03,23
26.68,922.0,2025-11-03_13-55-03,24
26.65,922.02,2025-11-03_13-55-03,25
26.62,921.96,2025-11-03_13-55-03,26
26.59,921.97,2025-11-03_13-55-03,27
26.58,922.05,2025-11-03_13-55-03,28
26.56,922.05,2025-11-03_13-55-03,29
26.54,922.06,2025-11-03_13-55-03,30
26.54,922.03,2025-11-03_13-55-03,31
26.52,922.03,2025-11-03_13-55-03,32
26.53,922.06,2025-11-03_13-55-03,33
26.51,921.97,2025-11-03_13-55-03,34
26.5,921.99,2025-11-03_13-55-03,35
26.5,922.02,2025-11-03_13-55-03,36
26.5,922.02,2025-11-03_13-55-03,37
26.48,922.02,2025-11-03_13-55-03,38
26.47,921.97,2025-11-03_13-55-03,39
26.46,921.97,2025-11-03_13-55-03,40
26.46,922.0,2025-11-03_13-55-03,41
26.45,922.01,2025-11-03_13-55-03,42
26.44,922.0,2025-11-03_13-55-03,43
26.44,922.02,2025-11-03_13-55-03,44
26.44,922.02,2025-11-03_13-55-03,45
26.43,922.0,2025-11-03_13-55-03,46
26.42,922.01,2025-11-03_13-55-03,47
26.41,922.02,2025-11-03_13-55-03,48
26.41,922.0,2025-11-03_13-55-03,49
26.4,921.98,2025-11-03_13-55-03,50
26.38,921.98,2025-11-03_13-55-03,51
26.39,922.01,2025-11-03_13-55-03,52
26.39,922.08,2025-11-03_13-55-03,53
26.38,921.99,2025-11-03_13-55-03,54
26.37,922.0,2025-11-03_13-55-03,55
26.37,922.03,2025-11-03_13-55-03,56
26.36,921.97,2025-11-03_13-55-03,57
30.28,921.9,2025-11-03_14-06-05,0
30.25,921.82,2025-11-03_14-06-05,1
30.24,921.79,2025-11-03_14-06-05,2
30.24,921.79,2025-11-03_14-06-05,3
30.23,921.8,2025-11-03_14-06-05,4
30.23,921.85,2025-11-03_14-06-05,5
30.23,921.81,2025-11-03_14-06-05,6
30.22,921.79,2025-11-03_14-06-05,7
30.23,921.85,2025-11-03_14-06-05,8
30.21,921.83,2025-11-03_14-06-05,9
30.21,921.81,2025-11-03_14-06-05,10
30.21,921.82,2025-11-03_14-06-05,11
30.21,921.84,2025-11-03_14-06-05,12
30.21,921.84,2025-11-03_14-06-05,13
30.2,921.85,2025-11-03_14-06-05,14
30.18,921.83,2025-11-03_14-06-05,15
30.19,921.84,2025-11-03_14-06-05,16
30.18,921.82,2025-11-03_14-06-05,17
30.18,921.83,2025-11-03_14-06-05,18
30.17,921.78,2025-11-03_14-06-05,19
30.17,921.79,2025-11-03_14-06-05,20
30.17,921.8,2025-11-03_14-06-05,21
30.18,921.86,2025-11-03_14-06-05,22
30.17,921.79,2025-11-03_14-06-05,23
30.17,921.8,2025-11-03_14-06-05,24
30.18,921.86,2025-11-03_14-06-05,25
30.18,921.86,2025-11-03_14-06-05,26
30.17,921.82,2025-11-03_14-06-05,27
30.17,921.79,2025-11-03_14-06-05,28
30.16,921.78,2025-11-03_14-06-05,29
30.17,921.85,2025-11-03_14-06-05,30
30.17,921.81,2025-11-03_14-06-05,31
30.16,921.76,2025-11-03_14-06-05,32
30.18,921.84,2025-11-03_14-06-05,33
30.17,921.81,2025-11-03_14-06-05,34
30.17,921.82,2025-11-03_14-06-05,35
30.17,921.77,2025-11-03_14-06-05,36
30.18,921.82,2025-11-03_14-06-05,37
30.18,921.77,2025-11-03_14-06-05,38
30.17,921.79,2025-11-03_14-06-05,39
30.18,921.77,2025-11-03_14-06-05,40
30.18,921.82,2025-11-03_14-06-05,41
30.18,921.8,2025-11-03_14-06-05,42
30.2,921.84,2025-11-03_14-06-05,43
30.19,921.74,2025-11-03_14-06-05,44
30.2,921.81,2025-11-03_14-06-05,45
30.2,921.76,2025-11-03_14-06-05,46
30.2,921.81,2025-11-03_14-06-05,47
30.2,921.75,2025-11-03_14-06-05,48
30.2,921.73,2025-11-03_14-06-05,49
30.21,921.78,2025-11-03_14-06-05,50
30.22,921.74,2025-11-03_14-06-05,51
30.22,921.74,2025-11-03_14-06-05,52
30.22,921.8,2025-11-03_14-06-05,53
30.22,921.73,2025-11-03_14-06-05,54
30.22,921.74,2025-11-03_14-06-05,55
30.24,921.78,2025-11-03_14-06-05,56
30.24,921.78,2025-11-03_14-06-05,57
29.44,909.39,2025-11-03_14-42-40,0
29.41,909.27,2025-11-03_14-42-40,1
29.42,909.25,2025-11-03_14-42-40,2
29.41,909.28,2025-11-03_14-42-40,3
29.41,909.24,2025-11-03_14-42-40,4
29.42,909.29,2025-11-03_14-42-40,5
29.41,909.32,2025-11-03_14-42-40,6
29.43,909.29,2025-11-03_14-42-40,7
29.43,909.29,2025-11-03_14-42-40,8
29.43,909.28,2025-11-03_14-42-40,9
29.42,909.14,2025-11-03_14-42-40,10
29.44,909.14,2025-11-03_14-42-40,11
29.43,909.16,2025-11-03_14-42-40,12
29.44,909.06,2025-11-03_14-42-40,13
29.45,909.18,2025-11-03_14-42-40,14
29.45,909.05,2025-11-03_14-42-40,15
29.45,908.96,2025-11-03_14-42-40,16
29.46,908.99,2025-11-03_14-42-40,17
29.47,908.95,2025-11-03_14-42-40,18
29.47,908.89,2025-11-03_14-42-40,19
29.48,908.94,2025-11-03_14-42-40,20
29.47,908.88,2025-11-03_14-42-40,21
29.48,908.82,2025-11-03_14-42-40,22
29.47,908.75,2025-11-03_14-42-40,23
29.48,908.78,2025-11-03_14-42-40,24
29.49,908.8,2025-11-03_14-42-40,25
29.5,908.73,2025-11-03_14-42-40,26
29.49,908.68,2025-11-03_14-42-40,27
29.5,908.69,2025-11-03_14-42-40,28
29.5,908.65,2025-11-03_14-42-40,29
29.5,908.57,2025-11-03_14-42-40,30
29.51,908.61,2025-11-03_14-42-40,31
29.52,908.65,2025-11-03_14-42-40,32
29.51,908.8,2025-11-03_14-42-40,33
29.51,908.72,2025-11-03_14-42-40,34
29.52,908.64,2025-11-03_14-42-40,35
29.51,908.57,2025-11-03_14-42-40,36
29.5,908.56,2025-11-03_14-42-40,37
29.51,908.66,2025-11-03_14-42-40,38
29.51,908.58,2025-11-03_14-42-40,39
29.52,908.62,2025-11-03_14-42-40,40
29.53,908.7,2025-11-03_14-42-40,41
29.51,908.66,2025-11-03_14-42-40,42
29.5,908.62,2025-11-03_14-42-40,43
29.51,908.65,2025-11-03_14-42-40,44
29.51,908.66,2025-11-03_14-42-40,45
29.52,908.69,2025-11-03_14-42-40,46
29.52,908.67,2025-11-03_14-42-40,47
29.52,908.66,2025-11-03_14-42-40,48
29.54,908.72,2025-11-03_14-42-40,49
29.53,908.67,2025-11-03_14-42-40,50
29.55,908.75,2025-11-03_14-42-40,51
29.54,908.7,2025-11-03_14-42-40,52
29.55,908.68,2025-11-03_14-42-40,53
29.55,908.66,2025-11-03_14-42-40,54
29.57,908.69,2025-11-03_14-42-40,55
30.6,912.4,2025-11-03_14-42-40,56
30.6,912.4,2025-11-03_14-42-40,57
29.44,909.39,2025-11-03_15-25-08,0
29.41,909.27,2025-11-03_15-25-08,1
29.42,909.25,2025-11-03_15-25-08,2
29.41,909.28,2025-11-03_15-25-08,3
29.41,909.24,2025-11-03_15-25-08,4
29.42,909.29,2025-11-03_15-25-08,5
29.41,909.32,2025-11-03_15-25-08,6
29.43,909.29,2025-11-03_15-25-08,7
29.43,909.29,2025-11-03_15-25-08,8
29.43,909.28,2025-11-03_15-25-08,9
29.42,909.14,2025-11-03_15-25-08,10
29.44,909.14,2025-11-03_15-25-08,11
29.43,909.16,2025-11-03_15-25-08,12
29.44,909.06,2025-11-03_15-25-08,13
29.45,909.18,2025-11-03_15-25-08,14
29.45,909.05,2025-11-03_15-25-08,15
29.45,908.96,2025-11-03_15-25-08,16
29.46,908.99,2025-11-03_15-25-08,17
29.47,908.95,2025-11-03_15-25-08,18
29.47,908.89,2025-11-03_15-25-08,19
29.48,908.94,2025-11-03_15-25-08,20
29.47,908.88,2025-11-03_15-25-08,21
29.48,908.82,2025-11-03_15-25-08,22
29.47,908.75,2025-11-03_15-25-08,23
29.48,908.78,2025-11-03_15-25-08,24
29.49,908.8,2025-11-03_15-25-08,25
29.5,908.73,2025-11-03_15-25-08,26
29.49,908.68,2025-11-03_15-25-08,27
29.5,908.69,2025-11-03_15-25-08,28
29.5,908.65,2025-11-03_15-25-08,29
29.5,908.57,2025-11-03_15-25-08,30
29.51,908.61,2025-11-03_15-25-08,31
29.52,908.65,2025-11-03_15-25-08,32
29.51,908.8,2025-11-03_15-25-08,33
29.51,908.72,2025-11-03_15-25-08,34
29.52,908.64,2025-11-03_15-25-08,35
29.51,908.57,2025-11-03_15-25-08,36
29.5,908.56,2025-11-03_15-25-08,37
29.51,908.66,2025-11-03_15-25-08,38
29.51,908.58,2025-11-03_15-25-08,39
29.52,908.62,2025-11-03_15-25-08,40
29.53,908.7,2025-11-03_15-25-08,41
29.51,908.66,2025-11-03_15-25-08,42
29.5,908.62,2025-11-03_15-25-08,43
29.51,908.65,2025-11-03_15-25-08,44
29.51,908.66,2025-11-03_15-25-08,45
29.52,908.69,2025-11-03_15-25-08,46
29.52,908.67,2025-11-03_15-25-08,47
29.52,908.66,2025-11-03_15-25-08,48
29.54,908.72,2025-11-03_15-25-08,49
29.53,908.67,2025-11-03_15-25-08,50
29.55,908.75,2025-11-03_15-25-08,51
29.54,908.7,2025-11-03_15-25-08,52
29.55,908.68,2025-11-03_15-25-08,53
29.55,908.66,2025-11-03_15-25-08,54
29.57,908.69,2025-11-03_15-25-08,55
30.6,912.4,2025-11-03_15-25-08,56
30.6,912.4,2025-11-03_15-25-08,57
29.44,909.39,2025-11-03_18-58-54,0
29.41,909.27,2025-11-03_18-58-54,1
29.42,909.25,2025-11-03_18-58-54,2
29.41,909.28,2025-11-03_18-58-54,3
29.41,909.24,2025-11-03_18-58-54,4
29.42,909.29,2025-11-03_18-58-54,5
29.41,909.32,2025-11-03_18-58-54,6
29.43,909.29,2025-11-03_18-58-54,7
29.43,909.29,2025-11-03_18-58-54,8
29.43,909.28,2025-11-03_18-58-54,9
29.42,909.14,2025-11-03_18-58-54,10
29.44,909.14,2025-11-03_18-58-54,11
29.43,909.16,2025-11-03_18-58-54,12
29.44,909.06,2025-11-03_18-58-54,13
29.45,909.18,2025-11-03_18-58-54,14
29.45,909.05,2025-11-03_18-58-54,15
29.45,908.96,2025-11-03_18-58-54,16
29.46,908.99,2025-11-03_18-58-54,17
29.47,908.95,2025-11-03_18-58-54,18
29.47,908.89,2025-11-03_18-58-54,19
29.48,908.94,2025-11-03_18-58-54,20
29.47,908.88,2025-11-03_18-58-54,21
29.48,908.82,2025-11-03_18-58-54,22
29.47,908.75,2025-11-03_18-58-54,23
29.48,908.78,2025-11-03_18-58-54,24
29.49,908.8,2025-11-03_18-58-54,25
29.5,908.73,2025-11-03_18-58-54,26
29.49,908.68,2025-11-03_18-58-54,27
29.5,908.69,2025-11-03_18-58-54,28
29.5,908.65,2025-11-03_18-58-54,29
29.5,908.57,2025-11-03_18-58-54,30
29.51,908.61,2025-11-03_18-58-54,31
29.52,908.65,2025-11-03_18-58-54,32
29.51,908.8,2025-11-03_18-58-54,33
29.51,908.72,2025-11-03_18-58-54,34
29.52,908.64,2025-11-03_18-58-54,35
29.51,908.57,2025-11-03_18-58-54,36
29.5,908.56,2025-11-03_18-58-54,37
29.51,908.66,2025-11-03_18-58-54,38
29.51,908.58,2025-11-03_18-58-54,39
29.52,908.62,2025-11-03_18-58-54,40
29.53,908.7,2025-11-03_18-58-54,41
29.51,908.66,2025-11-03_18-58-54,42
29.5,908.62,2025-11-03_18-58-54,43
29.51,908.65,2025-11-03_18-58-54,44
29.51,908.66,2025-11-03_18-58-54,45
29.52,908.69,2025-11-03_18-58-54,46
29.52,908.67,2025-11-03_18-58-54,47
29.52,908.66,2025-11-03_18-58-54,48
29.54,908.72,2025-11-03_18-58-54,49
29.53,908.67,2025-11-03_18-58-54,50
29.55,908.75,2025-11-03_18-58-54,51
29.54,908.7,2025-11-03_18-58-54,52
29.55,908.68,2025-11-03_18-58-54,53
29.55,908.66,2025-11-03_18-58-54,54
29.57,908.69,2025-11-03_18-58-54,55
30.6,912.4,2025-11-03_18-58-54,56
30.6,912.4,2025-11-03_18-58-54,57
29.44,909.39,2025-11-03_18-59-58,0
29.41,909.27,2025-11-03_18-59-58,1
29.42,909.25,2025-11-03_18-59-58,2
29.41,909.28,2025-11-03_18-59-58,3
29.41,909.24,2025-11-03_18-59-58,4
29.42,909.29,2025-11-03_18-59-58,5
29.41,909.32,2025-11-03_18-59-58,6
29.43,909.29,2025-11-03_18-59-58,7
29.43,909.29,2025-11-03_18-59-58,8
29.43,909.28,2025-11-03_18-59-58,9
29.42,909.14,2025-11-03_18-59-58,10
29.44,909.14,2025-11-03_18-59-58,11
29.43,909.16,2025-11-03_18-59-58,12
29.44,909.06,2025-11-03_18-59-58,13
29.45,909.18,2025-11-03_18-59-58,14
29.45,909.05,2025-11-03_18-59-58,15
29.45,908.96,2025-11-03_18-59-58,16
29.46,908.99,2025-11-03_18-59-58,17
29.47,908.95,2025-11-03_18-59-58,18
29.47,908.89,2025-11-03_18-59-58,19
29.48,908.94,2025-11-03_18-59-58,20
29.47,908.88,2025-11-03_18-59-58,21
29.48,908.82,2025-11-03_18-59-58,22
29.47,908.75,2025-11-03_18-59-58,23
29.48,908.78,2025-11-03_18-59-58,24
29.49,908.8,2025-11-03_18-59-58,25
29.5,908.73,2025-11-03_18-59-58,26
29.49,908.68,2025-11-03_18-59-58,27
29.5,908.69,2025-11-03_18-59-58,28
29.5,908.65,2025-11-03_18-59-58,29
29.5,908.57,2025-11-03_18-59-58,30
29.51,908.61,2025-11-03_18-59-58,31
29.52,908.65,2025-11-03_18-59-58,32
29.51,908.8,2025-11-03_18-59-58,33
29.51,908.72,2025-11-03_18-59-58,34
29.52,908.64,2025-11-03_18-59-58,35
29.51,908.57,2025-11-03_18-59-58,36
29.5,908.56,2025-11-03_18-59-58,37
