ax,ay,az,gx,gy,gz,session,reading_index
631,-2113,-965,-1887,1817,-1084,2025-11-01_01-00-54,21
748,-2314,-633,2959,2568,888,2025-11-01_01-00-54,22
721,-1793,-806,-261,4266,1101,2025-11-01_01-00-54,23
338,-2110,-253,-770,497,-329,2025-11-01_01-00-54,24
1259,-2019,-228,-803,-2865,-302,2025-11-01_01-00-54,25
341,-2130,-1222,-2038,3262,-798,2025-11-01_01-00-54,26
226,-2040,-236,2991,802,135,2025-11-01_01-00-54,27
859,-1730,-690,2575,22,267,2025-11-01_01-00-54,28
-774,-2907,204,-2292,-432,-307,2025-11-01_01-00-54,29
153,-1972,-373,-524,864,-288,2025-11-01_01-00-54,30
305,-2226,-339,-537,465,-984,2025-11-01_01-00-54,31
778,-2224,-662,2514,2713,-85,2025-11-01_01-00-54,32
315,-1801,-865,783,1916,-147,2025-11-01_01-00-54,33
593,-2029,-121,-1136,-1339,-434,2025-11-01_01-00-54,34
252,-1990,-244,-560,-750,-207,2025-11-01_01-00-54,35
233,-2275,-554,-1665,-286,-814,2025-11-01_01-00-54,36
43,-1788,-190,2209,1952,32,2025-11-01_01-00-54,37
893,-1689,-982,2703,635,504,2025-11-01_01-00-54,38
-537,-2642,479,-2093,-683,287,2025-11-01_01-00-54,39
157,-1818,-65,-976,1443,-68,2025-11-01_01-00-54,40
-1917,-1500,-717,-1720,4742,-1113,2025-11-01_01-00-54,41
301,-2106,-318,3151,92,257,2025-11-01_01-00-54,42
501,-1325,-916,2214,-1132,-148,2025-11-01_01-00-54,43
-707,-2781,-27,-2258,-773,-277,2025-11-01_01-00-54,44
375,-2066,-90,-892,243,-250,2025-11-01_01-00-54,45
283,-2086,-167,-635,-156,-546,2025-11-01_01-00-54,46
-1029,-3117,-978,-1468,8111,-872,2025-11-01_01-00-54,47
1478,-1979,-656,2103,2121,744,2025-11-01_01-00-54,48
329,-2073,-287,-1194,-455,172,2025-11-01_01-00-54,49
684,-1874,-232,-477,-793,-247,2025-11-01_01-00-54,50
568,-1406,-217,-1843,1673,-545,2025-11-01_01-00-54,51
245,-2183,-85,3519,670,442,2025-11-01_01-00-54,52
888,-1534,-862,2317,33,40,2025-11-01_01-00-54,53
-483,-2806,469,-2225,-1652,-127,2025-11-01_01-00-54,54
357,-1927,-4,-828,339,-326,2025-11-01_01-00-54,55
678,-1850,-815,-581,-1988,-232,2025-11-01_01-00-54,56
790,-2170,-531,2101,2946,-220,2025-11-01_01-00-54,57
376,-1678,-776,602,2486,208,2025-11-01_01-00-54,58
1,-2081,14,-1711,-2124,-431,2025-11-01_01-00-54,59
534,-1910,131,541,1015,566,2025-11-03_13-55-03,0
646,-2647,42,-1268,653,-826,2025-11-03_13-55-03,1
469,-1943,-334,-734,220,-235,2025-11-03_13-55-03,2
157,-1687,-149,610,351,560,2025-11-03_13-55-03,3
809,-1341,-680,716,537,1278,2025-11-03_13-55-03,4
490,-1941,-186,-660,1117,-638,2025-11-03_13-55-03,5
25,-1761,182,-345,1422,5,2025-11-03_13-55-03,6
711,-2072,-273,-1512,2182,-663,2025-11-03_13-55-03,7
662,-1867,-477,-717,128,-261,2025-11-03_13-55-03,8
462,-1532,-3,-1147,-463,93,2025-11-03_13-55-03,9
1048,-2044,-552,2698,588,1767,2025-11-03_13-55-03,10
589,-2097,-270,-855,2360,325,2025-11-03_13-55-03,11
525,-1910,-455,-732,430,-225,2025-11-03_13-55-03,12
-129,-2115,109,-796,-105,-140,2025-11-03_13-55-03,13
412,-1446,-294,1047,-221,659,2025-11-03_13-55-03,14
1272,-1057,-572,1460,-600,220,2025-11-03_13-55-03,15
364,-2064,-310,268,-1058,116,2025-11-03_13-55-03,16
265,-2127,306,-952,679,-187,2025-11-03_13-55-03,17
848,-1553,-665,1107,359,1328,2025-11-03_13-55-03,18
400,-2123,-299,-1127,126,-613,2025-11-03_13-55-03,19
417,-1921,-38,-797,250,-158,2025-11-03_13-55-03,20
968,-1660,-370,-242,2728,674,2025-11-03_13-55-03,21
264,-2024,-212,-371,-78,74,2025-11-03_13-55-03,22
829,-1807,-631,2643,-343,1547,2025-11-03_13-55-03,23
826,-2488,-156,-1859,1768,-1001,2025-11-03_13-55-03,24
226,-1976,-316,-857,426,-213,2025-11-03_13-55-03,25
745,-1601,-780,1804,-3909,-183,2025-11-03_13-55-03,26
640,-1803,72,-306,-1652,-778,2025-11-03_13-55-03,27
322,-1943,-317,-828,219,-197,2025-11-03_13-55-03,28
69,-1584,-307,-811,126,-213,2025-11-03_13-55-03,29
528,-1563,-791,585,252,761,2025-11-03_13-55-03,30
459,-1916,-404,-773,373,-298,2025-11-03_13-55-03,31
626,-1840,-186,28,2014,540,2025-11-03_13-55-03,32
344,-1919,-17,-451,347,-276,2025-11-03_13-55-03,33
1264,-1947,-395,-1234,-1049,-472,2025-11-03_13-55-03,34
1148,-1762,-833,2740,-671,1680,2025-11-03_13-55-03,35
565,-2050,-468,-1287,703,-642,2025-11-03_13-55-03,36
427,-1997,180,181,-1063,386,2025-11-03_13-55-03,37
614,-1649,-291,1881,-137,867,2025-11-03_13-55-03,38
627,-1186,-1440,-1017,2623,61,2025-11-03_13-55-03,39
341,-1906,-396,-717,295,-346,2025-11-03_13-55-03,40
1371,-1605,-390,-1102,638,-113,2025-11-03_13-55-03,41
911,-1810,-356,2895,390,1624,2025-11-03_13-55-03,42
840,-1432,-1143,-1675,2939,-368,2025-11-03_13-55-03,43
50,-1994,8,-614,164,-162,2025-11-03_13-55-03,44
437,-1931,-102,2272,-454,1062,2025-11-03_13-55-03,45
853,-1318,-742,1826,330,-174,2025-11-03_13-55-03,46
1177,-2917,-104,-2021,486,-1021,2025-11-03_13-55-03,47
454,-2004,-167,-234,-131,153,2025-11-03_13-55-03,48
692,-1586,-1014,2097,39,1368,2025-11-03_13-55-03,49
177,-2204,126,-1378,294,-943,2025-11-03_13-55-03,50
352,-1965,-426,-830,84,-295,2025-11-03_13-55-03,51
336,-1716,-778,-1158,-203,-258,2025-11-03_13-55-03,52
173,-1613,-504,-33,2569,555,2025-11-03_13-55-03,53
1036,-1390,-858,1276,1007,1348,2025-11-03_13-55-03,54
1258,-3173,224,-2332,1346,-1126,2025-11-03_13-55-03,55
115,-2033,-11,-895,94,-384,2025-11-03_13-55-03,56
423,-1927,-164,-703,370,-304,2025-11-03_13-55-03,57
710,-1726,492,-42,644,-8,2025-11-03_13-55-03,58
574,-1947,466,-836,373,-111,2025-11-03_13-55-03,59
245,-1942,-374,-335,-332,-161,2025-11-03_14-06-05,0
-412,-1880,-729,3029,1520,-1879,2025-11-03_14-06-05,1
-152,-2395,38,-1454,-1218,1010,2025-11-03_14-06-05,2
174,-1939,-425,-835,90,307,2025-11-03_14-06-05,3
488,-1746,-165,-1002,1247,370,2025-11-03_14-06-05,4
-9,-2101,123,223,-2321,-246,2025-11-03_14-06-05,5
14,-1965,-656,-685,-280,164,2025-11-03_14-06-05,6
575,-1989,-136,-742,540,135,2025-11-03_14-06-05,7
-255,-2031,-531,2125,602,-1422,2025-11-03_14-06-05,8
271,-2491,-420,-1189,-770,635,2025-11-03_14-06-05,9
353,-2049,-56,-752,1101,-113,2025-11-03_14-06-05,10
-253,-1831,-554,1698,673,-677,2025-11-03_14-06-05,11
-76,-1971,-381,-530,208,268,2025-11-03_14-06-05,12
77,-1967,-167,-670,-1519,-58,2025-11-03_14-06-05,13
-238,-1787,-1062,2670,1729,-1207,2025-11-03_14-06-05,14
156,-1947,-392,-733,7,505,2025-11-03_14-06-05,15
-369,-1988,-78,-247,1586,-564,2025-11-03_14-06-05,16
-98,-2037,-728,-582,469,705,2025-11-03_14-06-05,17
661,-1886,-229,-788,669,79,2025-11-03_14-06-05,18
-332,-1823,-726,3254,1082,-1755,2025-11-03_14-06-05,19
240,-2599,-228,-1108,-522,820,2025-11-03_14-06-05,20
327,-1965,-208,-627,-33,217,2025-11-03_14-06-05,21
531,-1618,-899,-428,4180,-19,2025-11-03_14-06-05,22
517,-2063,-290,-318,-573,537,2025-11-03_14-06-05,23
267,-2040,-237,-775,490,129,2025-11-03_14-06-05,24
-75,-2038,-1056,2060,1088,-1500,2025-11-03_14-06-05,25
339,-1513,-2008,-1228,486,461,2025-11-03_14-06-05,26
154,-1997,-319,-399,-675,330,2025-11-03_14-06-05,27
811,-1745,553,76,198,-279,2025-11-03_14-06-05,28
222,-1969,-667,-623,-132,290,2025-11-03_14-06-05,29
282,-2004,-292,-858,1339,227,2025-11-03_14-06-05,30
-55,-1466,-886,795,-71,-643,2025-11-03_14-06-05,31
67,-1480,-2560,-1590,2578,630,2025-11-03_14-06-05,32
390,-1969,-125,-571,3079,-79,2025-11-03_14-06-05,33
48,-1387,-1049,-979,-1211,9,2025-11-03_14-06-05,34
-390,-1450,-1075,2096,-624,-1589,2025-11-03_14-06-05,35
118,-2030,-520,-966,-302,554,2025-11-03_14-06-05,36
60,-1982,-370,-751,516,245,2025-11-03_14-06-05,37
-36,-1595,-1675,566,4397,-296,2025-11-03_14-06-05,38
188,-1960,-172,-357,-190,554,2025-11-03_14-06-05,39
