T,P,session,reading_index
29.41,909.28,2025-11-12_19-47-58,3
29.41,909.24,2025-11-12_19-47-58,4
29.42,909.29,2025-11-12_19-47-58,5
29.41,909.32,2025-11-12_19-47-58,6
29.43,909.29,2025-11-12_19-47-58,7
29.43,909.29,2025-11-12_19-47-58,8
29.43,909.28,2025-11-12_19-47-58,9
29.42,909.14,2025-11-12_19-47-58,10
29.44,909.14,2025-11-12_19-47-58,11
29.43,909.16,2025-11-12_19-47-58,12
29.44,909.06,2025-11-12_19-47-58,13
29.45,909.18,2025-11-12_19-47-58,14
29.45,909.05,2025-11-12_19-47-58,15
29.45,908.96,2025-11-12_19-47-58,16
29.46,908.99,2025-11-12_19-47-58,17
29.47,908.95,2025-11-12_19-47-58,18
29.47,908.89,2025-11-12_19-47-58,19
29.48,908.94,2025-11-12_19-47-58,20
29.47,908.88,2025-11-12_19-47-58,21
29.48,908.82,2025-11-12_19-47-58,22
29.47,908.75,2025-11-12_19-47-58,23
29.48,908.78,2025-11-12_19-47-58,24
29.49,908.8,2025-11-12_19-47-58,25
29.5,908.73,2025-11-12_19-47-58,26
29.49,908.68,2025-11-12_19-47-58,27
29.5,908.69,2025-11-12_19-47-58,28
29.5,908.65,2025-11-12_19-47-58,29
29.5,908.57,2025-11-12_19-47-58,30
29.51,908.61,2025-11-12_19-47-58,31
29.52,908.65,2025-11-12_19-47-58,32
29.51,908.8,2025-11-12_19-47-58,33
29.51,908.72,2025-11-12_19-47-58,34
29.52,908.64,2025-11-12_19-47-58,35
29.51,908.57,2025-11-12_19-47-58,36
29.5,908.56,2025-11-12_19-47-58,37
29.51,908.66,2025-11-12_19-47-58,38
29.51,908.58,2025-11-12_19-47-58,39
29.52,908.62,2025-11-12_19-47-58,40
29.53,908.7,2025-11-12_19-47-58,41
29.51,908.66,2025-11-12_19-47-58,42
29.5,908.62,2025-11-12_19-47-58,43
29.51,908.65,2025-11-12_19-47-58,44
29.51,908.66,2025-11-12_19-47-58,45
29.52,908.69,2025-11-12_19-47-58,46
29.52,908.67,2025-11-12_19-47-58,47
29.52,908.66,2025-11-12_19-47-58,48
29.54,908.72,2025-11-12_19-47-58,49
29.53,908.67,2025-11-12_19-47-58,50
29.55,908.75,2025-11-12_19-47-58,51
29.54,908.7,2025-11-12_19-47-58,52
29.55,908.68,2025-11-12_19-47-58,53
29.55,908.66,2025-11-12_19-47-58,54
29.57,908.69,2025-11-12_19-47-58,55
30.6,912.4,2025-11-12_19-47-58,56
30.6,912.4,2025-11-12_19-47-58,57
29.44,909.39,2025-11-12_20-06-30,0
29.41,909.27,2025-11-12_20-06-30,1
29.42,909.25,2025-11-12_20-06-30,2
29.41,909.28,2025-11-12_20-06-30,3
29.41,909.24,2025-11-12_20-06-30,4
29.42,909.29,2025-11-12_20-06-30,5
29.41,909.32,2025-11-12_20-06-30,6
29.43,909.29,2025-11-12_20-06-30,7
29.43,909.29,2025-11-12_20-06-30,8
29.43,909.28,2025-11-12_20-06-30,9
29.42,909.14,2025-11-12_20-06-30,10
29.44,909.14,2025-11-12_20-06-30,11
